bodyId,type,instance
294792184,M_vPNml53,M_vPNml53_R
329599710,M_lvPNm32,M_lvPNm32_R
356818551,LPN,LPN_R
417199910,M_lvPNm36,M_lvPNm36_R
450034902,LPN,LPN_R
480029788,LPN,LPN_R
480927537,M_vPNml70,M_vPNml70_R
481268653,M_vPNml89,M_vPNml89_R
509626405,VP1l+_lvPN,VP1l+_lvPN_R
541632990,M_vPNml70,M_vPNml70_R
542311358,M_vPNml69,M_vPNml69_R
542634818,DM1_lPN,DM1_lPN_R
542652506,DM4_vPN,DM4_vPN_R
542665377,M_vPNml79,M_vPNml79_R
543010474,VP4+_vPN,VP4+_vPN(mlALT)_R
544021095,DA4l_adPN,DA4l_adPN_R
572663539,M_vPNml87,M_vPNml87_R
573333835,DM4_adPN,DM4_adPN_R
573669915,M_vPNml83,M_vPNml83_R
574032862,VA5_lPN,VA5_lPN_R
574037266,DA4m_adPN,DA4m_adPN_R
574037281,VA5_lPN,VA5_lPN_R
574374051,VA5_lPN,VA5_lPN_R
577542489,M_lvPNm24,M_lvPNm24_R
603349484,M_vPNml85,M_vPNml85_R
603785283,VP1l+VP3_ilPN,VP1l+VP3_ilPN
604031203,DM4_vPN,DM4_vPN_R
604726283,M_vPNml77,M_vPNml77_R
605050789,M_vPNml84,M_vPNml84_R
606090268,VC1_lPN,VC1_lPN_R
609924156,M_lvPNm39,M_lvPNm39_R
610274029,M_vPNml50,M_vPNml50_R
610274046,M_vPNml50,M_vPNml50_R
630714299,DM2_lPN,DM2_lPN_R
632751823,VC5_lvPN,VC5_lvPN_R
634379734,M_vPNml88,M_vPNml88_R
634707780,M_vPNml58,M_vPNml58_R
634759240,VP4_vPN,VP4_vPN(mlALT)_R
635048729,DP1m_vPN,DP1m_vPN_R
635062078,DP1m_adPN,DP1m_adPN_R
635407942,M_vPNml85,M_vPNml85_R
635416407,DM5_lPN,DM5_lPN_R
636418270,M_vPNml58,M_vPNml58_R
636789080,VC5_adPN,VC5_adPN_R
637462647,M_vPNml80,M_vPNml80_R
639276164,M_lvPNm25,M_lvPNm25_R
662776660,VC3m_lvPN,VC3m_lvPN_R
663432544,VP3+_vPN,VP3+_vPN(t10ALT)_R
663787020,VP1m+_lvPN,VP1m+_lvPN(t2ALT)_R
664814903,VP1m+_lvPN,VP1m+_lvPN(t2ALT)_R
666135689,DA3_adPN,DA3_adPN_R
666818300,V_l2PN,V_l2PN_R
667823920,M_vPNml56,M_vPNml56_R
693125078,VC3l_adPN,VC3l_adPN_R
693479072,VM7v_adPN,VM7v_adPN_R
693483018,DL5_adPN,DL5_adPN_R
694834412,VM4_adPN,VM4_adPN_R
697132371,VM2_adPN,VM2_adPN_R
697145036,M_vPNml83,M_vPNml83_R
697485362,DM5_lPN,DM5_lPN_R
697844568,M_lvPNm40,M_lvPNm40_R
697848868,DC4_vPN,DC4_vPN_R
698508565,V_ilPN,V_ilPN
698526273,M_vPNml74,M_vPNml74_R
698565676,Z_lvPNm1,Z_vPNml1(noAL+SEZ)_R
698569832,Z_lvPNm1,Z_vPNml1(noAL+SEZ)_R
698970725,WEDPN12,WEDPN12_R
722817260,DA1_lPN,DA1_lPN_R
724816115,DP1l_adPN,DP1l_adPN_R
726207450,VM4_lvPN,VM4_lvPN_R
727472481,VM2_adPN,VM2_adPN_R
727855437,M_vPNml71,M_vPNml71_R
729219639,M_vPNml74,M_vPNml74_R
729544359,M_vPNml84,M_vPNml84_R
729608317,Z_lvPNm1,Z_vPNml1(noAL+SEZ)_R
730213826,DP1l_vPN,DP1l_vPN_R
730252777,M_lvPNm41,M_lvPNm41_R
731690040,M_spPN5t10,M_spPN5t10(PVM01)_L
733316908,DA1_vPN,DA1_vPN_R
754534424,DA1_lPN,DA1_lPN_R
754538881,DA1_lPN,DA1_lPN_R
754854077,VC4_adPN,VC4_adPN_R
755518957,DM3_adPN,DM3_adPN_R
757258507,M_lvPNm45,M_lvPNm45_R
757556799,VL1_vPN,VL1_vPN_R
757569579,M_lvPNm44,M_lvPNm44_R
757591093,M_lvPNm45,M_lvPNm45_R
759922408,M_vPNml74,M_vPNml74_R
760250272,M_vPNml84,M_vPNml84_R
760250511,M_vPNml78,M_vPNml78_R
760264077,M_vPNml74,M_vPNml74_R
761938645,M_vPNml67,M_vPNml67_R
762982753,M_adPNm5,M_adPNm5_R
763730414,M_smPNm1,M_smPNm1_L
788306624,DM6_adPN,DM6_adPN_R
788306724,VC4_adPN,VC4_adPN_R
788648194,DL2d_adPN,DL2d_adPN_R
788940872,M_adPNm6,M_adPNm6_R
788945049,M_adPNm8,M_adPNm8_R
791298858,M_vPNml84,M_vPNml84_R
792023887,M_lvPNm45,M_lvPNm45_R
792024028,M_lvPNm43,M_lvPNm43_R
792364888,Z_vPNml1,Z_vPNml1(noAL+SEZ)_R
792616185,M_vPNml59,M_vPNml59_R
